,CourseOutcomeID,CourseOutcome,co_embedding
25,8a838345673ec61901673ece37410055,Learn to device keypoint detection strategies,"[-5.0359399472986555, 1.3705605526990434, -0.8838741460085076, -0.7559844928620377, -1.265652220531893, -0.8658271264277901, 0.2491544361685902, 0.01879204933630045, 0.13524817114319385, 0.7995810905219686, 0.7943994826532909, 0.9377830180684598, -0.28921577443873314, 0.2009921696495538, 0.060329219199410165, -0.12358686499750351, 0.01900279666953328, -0.03680240397770337, -0.09240156998521544, -0.018583599299170365, 0.00023115093596939168, -0.018214331724258057, 0.0357263035367002, -0.029071362627655542, 0.0022325080170674423, 0.007767036579443481, 0.025896206986447536, 0.09951328568331781, 0.006602598740281521, -0.010723906886057684, -0.029501145307432964, 0.010742737359642953, 0.05147640495041127, -0.026700175174877192, -0.0023012140198782442, 0.024157833658221224, 0.030852466428701597, -0.020948515223684145, -0.0525719593489243, 0.056214971230061694, -0.05574268546843021, 0.06554484650913352, 0.06462438817592138, 0.033958601876791006, 0.06373101113002008, 0.01328710421453774, 0.007441530422933492, 0.015038663990156027, 0.026298416046590056, -0.043719503047541096, -0.014831673184022613, 0.031202826456361077, 0.04925447386577954, -0.00690522670081343, 0.00957122417990576, -0.0015545864378489164, 0.030592932947476274, -0.004434777394450433, -5.625270637611528e-05, -0.020738837750971663, 0.007006141372128034, 0.004869578982561701, 0.00569163371516095, 0.007282838676538214, -0.015660642283095376, -0.04345927029160861, 0.012554105074939675, 0.029745553307925877, -0.05031837573422994, 0.0009518220201627028, 0.01665488368018272, -0.011852174527739213, -0.005399497572464031, 0.015326265394891707, -0.0135977195412318, -0.000781906939613778, -0.008624028586081526, 0.008109359582843277, 0.037613723721095005, -0.014336504373677658, 0.0019208440867499697, 0.01592482449864341, 0.018243644931140012, -0.004691763579966627, -0.041768987013660996, -0.001964543734715979, 0.01439456298848406, -0.01090070631295494, 0.049770838537473786, -0.019084958790402666, -0.004759119936648064, -0.010930305337651717, -0.037545715147077385, 0.008929035081574076, -0.01743117559237823, 0.005735027125585799, 0.007533998774035974, -0.006701615417996937, -0.0022846001505357977, 0.01794474842873863]"
27,8a838345673ec61901673ecec7a4006b,Learn to device keypoint descriptors to favour Keypoint matching,"[-5.035077887205878, 1.3624643867405302, -0.8911232284165604, -0.7466068765672722, -1.2736831435943345, -0.8605813695840515, 0.24705778791785624, 0.019340892121815452, 0.12599432932916435, 0.8022752128335175, 0.7969146522799145, 0.9184467182390458, -0.2933870960317095, 0.20216797533932074, 0.08682674522706721, -0.16220190889449884, -0.04478968304528318, -0.07432797563189843, 0.000774614699094546, 0.002990378594867088, -0.11087396953231829, -0.038798206439002156, 0.03919586307932089, -0.03696199543430373, 0.020063537605504795, 0.05027136138909798, -0.013385665149566964, 0.08905955582887891, 0.004609854421831754, -0.03425973669116835, -0.028031851469048127, 0.01853812446402776, 0.03412402775458208, -0.05535543541818111, -0.062392947987053304, 0.041662670363177716, 0.06788105734635508, -0.009318932951550125, -0.053705340880106534, 0.06084424419000335, -0.02616054107669123, 0.08791552629620264, 0.028895418030658815, 0.039813824423824626, 0.047194388960639745, 0.003501193686734603, -0.004930771770089364, 0.01921630829546192, -0.00016805699994839988, -0.0521813308080324, 0.014561135358026469, 0.05458383420029848, 0.024323546542524048, -0.05123539928114744, 0.0007036465377422384, 0.001935798598472249, 8.525913754254362e-05, -0.011067948509353952, -0.0161215774526991, 0.03320931951463171, 0.014413056565741836, -9.17948215293906e-05, 0.0030249279072560326, 0.020896939280920908, -0.01603178821972586, -0.007714497788792327, 0.01158180085011368, -0.0041025129382333825, -0.008556900068106353, -0.016024765093285973, 0.007467979733633504, 0.009933392944350675, -0.015009221334214385, 0.033072136516258004, 0.010101162424669376, -0.03310459256534024, 0.0172803151681711, -0.03360531713588856, 0.01366488196942938, 0.00152426179737499, 0.007929186481589244, -0.017528193233127463, 0.016054636518748045, -0.03176988873327481, -0.00386171134021872, 0.02608226996900018, 0.002013785568214988, 0.023743782409988774, -0.015634604693331163, -0.01877715235216442, 0.005385741722759307, -0.0043378963245411795, 0.02173622209133397, -0.01272641946032167, 0.010632075568011278, 0.00010259188578976008, 0.020310373203866642, 0.006145105270925041, 0.0064949274211556825, -0.009970754799701203]"
30,8a838345673ec61901673ecf2740007e,"Learn to detect, identify & track objects","[-5.07701445248126, 2.0837007361452256, -1.4143495349021762, -0.7515338287542204, -0.9657675692329059, -0.0625201944630232, 1.004100558132559, -0.8499815207189335, 0.12418598045410108, 1.2121828695712449, 0.1141060080025774, 1.5967344001853359, -0.35961111869904167, 0.4991749099462308, 0.05010467995791374, -0.22774307099145474, 0.04668549055393827, 0.006493386062590655, -0.051161101724502014, -0.07875209602790986, 0.006776427183574171, -0.04276827342188021, 0.029829439911751587, 0.028663196609310986, 0.026885915114093162, -0.01602545841027695, -0.0023504523343224476, -0.006815418757319058, 0.03265507859456773, 0.0018458044738365875, -0.03973801627293006, -0.025381185099937437, 0.000814642513489193, -0.020622914344874, 0.03432277148689826, -0.01652358404802395, -0.023226862080146182, -0.06272902680770809, 0.01829638789601263, 0.003273586019171163, 0.06794191061335465, 0.001413626110563039, 0.07761777511561697, 0.04521012285515375, 0.045460207219085225, 0.016344124278800918, 0.03200066506038086, -0.04597615184140849, 0.020585192069754447, -0.05252446827024007, 0.010911258937005942, -0.048435890331835305, -0.004660299016777246, 0.012571142691339986, -0.02730396334630059, -0.01819019438219784, -0.015946837187093825, 0.02856328657669658, -0.013787027154040097, -0.03214987210191472, -0.03605082532176482, 0.03544797541695884, 0.028732377908629918, -0.003470075029541969, -0.02615997128578236, 0.04406118544327018, -0.018253759032588336, 0.0017761265024220669, -0.005546358778781853, 0.01027190469671485, -0.0010034427944673914, 0.0036861789025396073, 0.0210987020033599, -0.030222744371726295, -0.007996121131783784, 0.04359209149243454, 0.019671904091711885, 0.06184932240170614, -0.04751705879277957, 0.028325053123157567, -0.00039542514072912066, 0.007228067193104492, -0.023371245981164405, 0.01906156010240479, 0.03580897355453025, -0.018183145397161128, -0.007082785457080782, -0.03392956917351154, -0.002442421404672379, 0.020479514177234433, -0.008162444709358254, -0.0019714849729224344, 0.024588675975480822, 0.013774754727248708, 0.008474033695926964, -0.002000538221306563, -0.005435197973112444, -0.003793787068797577, 0.0062828725360988096, -0.011551294223226378]"
31,8a838345673ec61901673ecd4877002d,Understand Image & Image Formation Model,"[-4.9530130909708125, -2.2069723523042026, 1.4544615035271018, -1.1893985314830446, -0.20679168932287276, -0.9734379610170623, 0.28700241971524454, 0.6992285335077839, -0.4063792667450349, 0.09206364469952716, 0.41965351788197275, -0.18691629239149735, -0.20242031859833923, -0.02414640609457186, -0.1951910647271593, 0.2135366666744789, 0.2277005199943385, 0.07093079975392999, -0.17875006361611495, -0.03794396393685777, -0.16424321256892963, 0.01897076529907962, 0.020499904643645577, -0.04047928586602169, -0.12710668951969364, -0.0544546243226945, -0.048203352316172524, 0.18555678505654716, 0.005287306289768705, 0.17585262776002888, -0.01528492243370595, 0.16855829705322667, 0.18598594638606508, -0.08644032335902886, 0.16003511613440113, -0.11696659379728735, 0.06939746446541788, -0.02085311677126818, 0.053167042860775435, -0.07646700723889985, -0.0027328551676827247, -0.062142823841155014, -0.02663199011375905, -0.0422386471878625, -0.01638472898937228, -0.011885043307350024, 0.012529578231370058, 0.005092332899957783, -0.027584770323144006, 0.011298980424500584, 0.032381202623604805, 0.033006950102215105, -0.013788780137481603, 0.008258899647373013, 0.017364474703775723, -0.015067111498924382, 0.00839707080778169, -0.01955920932347377, 0.02118909882422793, 0.02361532256575341, 0.006631110376639705, 0.03508042134256213, 0.021865501725269982, 0.014505309228372634, 0.023713855512727634, -0.01946250749032471, -0.01213349894983312, -0.004639984315027672, -0.008230641871916994, 0.002371906726392532, -0.0010768481309813768, -0.018713570847095514, 0.012403227781354487, -0.01981514783250213, -0.031302271462274295, -0.0018535184137546358, 0.002601498253586444, 0.016958016850631287, 0.007828263058464275, 0.004289833862821651, 0.034435915806552024, -0.021668153389755182, 0.0005101463755554994, 0.005204252556549286, 0.005203361481221065, -0.003266817591343821, 0.001135440966555129, -0.005630468093466901, -0.0023189335407762246, 0.0008001486679796756, -0.0017772465666222662, -0.007798235130357399, 0.009438673004694547, -0.0009658518041061673, -0.0009572089722455136, 0.012633496360512548, 0.010399380227687239, 0.011989926867736079, -0.003618786293788231, -0.0045341709717223715]"
33,8a838345673ec61901673ecddb630041,Learn to apply image enhancement techniques judiciously,"[-5.037573765968738, 1.628166351097741, -1.1288787451897244, -0.43600687434726526, -1.1225085629775942, -0.1266956396276322, 0.038736828272141054, -0.6653089072383717, 0.37340047217211736, 0.8544651492735162, 0.029445712855241404, 0.9822034066065055, -0.20636489235924063, 0.3522334787086912, 0.06506650692763462, -0.060946557121282996, 0.13806827152136225, -0.07219013821414631, -0.004289870507378491, 0.007516786291102591, -0.055403151392737285, 0.005431026914194621, 0.05387844324922092, -0.04001696515888585, -0.004000361305772297, 0.0437127676394491, 0.019657062136916995, 0.03810427907418291, -0.09867043158887763, 0.009176030727508068, 0.055696649094121156, 0.04340889125463024, 0.08185684449177971, 0.010196831264855127, 0.03658425301703686, -0.016538529103770662, 0.01338284219239204, 0.04027720871934578, 0.006872132427939968, -0.04452285011921785, -0.0010991672555451908, 0.00038540746837404164, 0.005398792953122223, -0.03162464796344864, 0.014911667235056013, -0.03595589458223983, -0.05883817752920782, -0.025583390571379573, -0.049850191609103145, -0.0015183175159218139, 0.0530081243976333, -0.023664703731966028, -0.03766860031185161, 0.03993593047014065, 0.019611020477692854, -0.04821817720009325, -0.0635590034723812, -0.04494767233560376, -0.027304958956597285, -0.018372549226569612, -0.039927565993064656, -0.041580193732559896, -0.021200474096818626, 0.021889896262854792, 0.012588956734808192, 0.07489298588353394, 0.027017163475792767, 0.01691734421739429, 0.05903916855537231, 0.0024662377978510175, -0.044350343631768506, 0.0040633354594083945, -0.027739207247025666, -0.023901442806538352, -0.00935820823245355, -0.010417750010447402, -0.018382858333924848, -0.037566250491078916, 0.00010876537475003681, -0.0448254756740859, -0.03289319088453803, 0.0011924272796055104, -0.005044721368708278, -0.026963018509610193, -0.001339944192201726, -0.027293124796347705, -0.005009961244076561, 0.038994236309462235, -0.02055214785823009, 0.018708308333087058, -0.011209931630424023, 0.013695642737173254, -0.03343574110337991, -0.005181983288158404, -0.010648270173703855, -0.026148350091511154, -0.015254773419432727, -0.0035088262199249524, 0.0036559460411711734, 0.009516117324757198]"
45,8a838345673ec61901673ecf738f008e,Learn to get depth perception from images,"[-5.060136922159076, 0.3398083531956115, -0.15033318873928894, -0.8618064980436287, -0.3517104341703101, 0.6163395846963013, 0.8314611312246095, -1.265425662727573, 0.3129618593166224, 1.6386865885436273, 0.3861216001904651, 1.4546203251003011, -0.4605981145530254, 0.7170732262948539, -0.007551475108278118, -0.005655543406388949, 0.148122608925361, 0.010978824265091397, -0.0656483650414318, -0.06500708526877673, -0.016303294461560147, -0.09865437276933707, 0.035135289838633225, 0.06794361386927793, -0.06472202108715674, 0.052682310970862956, 0.043222634306527896, -0.00143579957581879, -0.07393552155915749, 0.07361734556172589, 0.01740477884270719, -0.005642841532611199, -0.00818828306564387, 0.043734721952366246, -0.011095712331746312, 0.012607822243660183, -0.0051955723684357046, 0.09832477243473901, 0.0027184790393928685, 0.005408716632778159, 0.0020543727961970498, -0.10212464899630602, -0.08790336339745913, -0.03967220762490829, -0.10808458113833196, 0.05643273347832418, -0.05623910541948069, 0.06956267049302559, 0.0012552121604967569, 0.10719636868630208, -0.08666623102529405, -0.018558904627217463, -0.01851253206604218, -0.0019563599574177726, -0.014298803800243967, 0.04472039383135155, 0.004791143420197604, 0.029658679568538272, 0.03106398521977867, 0.024832024495871692, 0.037013572250998536, -0.01892909223801076, -0.03642712547721808, -0.010817959302710541, -0.010356165223477615, -0.030349394631741786, 0.0038662140180475736, -0.048707383272120666, -0.012022586490216182, -0.0011221191391646845, 0.029944328257603327, -0.016607022311048002, -0.007916595351727186, 0.020805978151706716, 0.015794533868869955, 0.018154161020060348, 0.0063864392849302684, -0.020153376990419167, -0.0007981335032408617, 0.016037517794643092, -0.012023624703520381, 0.009245392857707754, -0.005914867531117342, 0.018304267714315207, -0.01585499459920526, 0.0015090515026332614, -0.001069277526574897, -0.004704669193785432, 0.017647699997507572, 0.009475517132859004, 0.01131610819364777, 0.0038761520797636513, 0.016923404578056273, -0.0019143899859330703, -0.0004284020186107909, -0.0003318955892710265, -0.006321353418704646, 0.0023466607733469017, -0.0031628255229520542, 0.004949758567598408]"
0,8a8383456788d6e00167a1ac5a2a4000,Understanding of Embedded Systems using modular design and abstraction,"[-4.994602403872998, 0.5295836760784354, 0.6744787058476276, -1.0719626758724545, -0.33866556920037844, -1.1711248292908922, -0.8093324507391575, -0.9730125332732896, 1.1360724544767145, -0.26305299409629934, -0.17561715009969495, -0.32950281386781277, 0.16060630396187975, 0.16339718039352688, -0.04791483515843745, 0.07241814391562129, 0.184783187588149, -0.020168170018936907, -0.04017107801142019, -0.009711080020626353, -0.07795920779920965, -0.027777753221781172, -0.042613137271105134, -0.06935161540786572, -0.031112094778398797, -0.007729344931312117, 0.009950450537107292, -0.07788971477277817, -0.129134425715619, 0.1383473188719574, 0.11025356825542877, -0.1109396611508627, 0.01223667355831492, -0.020248398437560905, 0.059541605607206755, -0.013392918367186323, -0.09670818146248902, 0.041218679922375004, -0.03287256002027507, -0.04498613291386279, -0.05932289530208921, 0.038588899089069276, -0.061150723635057344, 0.0043759026018215415, -0.1037916059899098, -0.03719509635528073, 0.03820720868767914, -0.09589977571999594, 0.05684032144391567, -0.07111932444176225, 0.019809348919816748, 0.003074692437049366, 0.033447004826103986, -0.0396574914624437, 0.025898652389013708, 0.05095316872669038, -0.018718829879978513, 0.027531611409413407, -0.007706211858966415, -0.03542425190797225, -0.027069296570464554, -0.0018972014656547503, -0.041754760181898824, 0.012632450810747093, -0.013273411533711, -9.670494906900001e-06, 0.010429090588109508, -0.011360362063944106, -0.025664254348142252, -0.005346872402540569, 0.016897196860148407, 0.049040713663295224, 0.027360456075380457, -0.027522009645885675, 0.02006270993931382, 0.023600205861252, -0.009368799899081263, 0.014827707655732995, 0.010393144422848352, -0.03618888828947459, -0.005970790351871822, 0.015866223056323684, 0.04549694251238607, -0.022754490084193783, 0.004037657981657068, -0.004910442791253978, -0.01027620724570958, 0.0022195965036816054, 0.012367562084382765, -0.016975733457972413, 0.017739521310592112, 0.005703919160225248, 0.009288970813228901, 0.010591688325517087, -0.0007378352839539342, 0.01187980406676469, 0.005652770506940527, -0.004773585755623823, -0.007349036779730421, -0.008665353603567197]"
1,8a8383456788d6e00167a1ac8e8d400c,Learn how to read a data sheet and compute the value of registers. Understand the strategic use of memory and other I/O modules in TM4C123 microcontroller.,"[-4.981663369712112, 0.27878034456228556, 0.8854739068370269, -1.378971116819861, -0.31699780460699517, -1.8404878096553168, -0.6975059262926783, -0.46566405778253606, 0.9336696602222322, -0.181527647190991, -0.37031883365366275, -0.2674516636417086, 0.08226700047106682, 0.1299150689017829, -0.05501930582896583, -0.007534826419030319, 0.14204350181966652, 0.05642693099840074, -0.15123780135000792, -0.05639938812466563, 0.03177201423670437, 0.0184799363516064, -0.022673058347730944, -0.025134060154143184, 0.06536231047356747, -0.12875866141537406, 0.0005858434746136704, -0.02053826801828127, 0.018021133487726455, -0.04478166710060123, -0.005041689450175572, -0.07504220606335268, 0.03884888616008085, -0.0479013311345015, -0.011138689683604791, 0.0023587866913362737, 0.006543036792683074, -0.10291899157909343, -0.035795837094036, -0.08915193342634145, 0.04877736932964967, -0.009855120767504572, -0.01998101666038932, 0.08334438060230581, 0.02611277553625159, -0.04288924227859513, 0.01917995262231845, 0.20057109515082763, -0.05751467468691534, 0.07005355584953733, -0.007373593555498367, -0.04089403715994091, 0.02289975788970707, -0.01207382998119826, 0.07113896976389891, -0.007246694546124057, 0.01563859498510994, 0.015336769569267997, -0.015469131058127854, -0.019955956460766915, 0.012427432577454153, -0.044941510657582805, 0.028177205181576372, 0.020712920364275453, -0.05094380221704432, 0.018807510674475596, -0.03814918592367701, 0.015902552211162626, 0.010795473245284746, 0.0037022836491260418, 0.025464651847203614, 0.04474285587721105, -0.016441514691799688, -0.0055179841408105595, 0.0470838020758578, 0.001792221897628921, -0.020739548929762895, -0.0051321905879627774, 0.008081297918466039, -0.009964650598010863, 0.00789806843613679, -0.010903314544536514, 0.006903548093544931, 0.007420139233563145, 0.0013632646384197774, -0.01115968830402909, -0.011884555286409984, -0.010663093911170134, -0.01483228540440451, 0.00107058626094865, 0.0018722257919521514, -0.0027303421360256683, -0.0014761229688901208, -0.006813912081718124, -0.011593801214039603, 0.0005640374380580133, 0.005540153990558693, -0.01616197847273453, -0.0057529395760543564, -0.011858836114755376]"
2,8a8383456788d6e00167a1acc34b404f,Analyse how to access Microcontroller ports using Embedded C program,"[-5.001769500313634, 1.6204826460433979, -0.6318971229801416, -0.2553618105133251, -1.3395298142143854, -0.7739485671327775, -1.2423119624166439, -0.5208662167322513, 0.9453309874269731, -0.4529270750647737, 0.6966438491986596, -0.3457588007978142, 0.20691235747044684, -0.12116018577536737, 0.061109661032979365, -0.11692529461902586, -0.03777121710430443, 0.014127715416224748, -0.09455773608353485, -0.021164414092567096, 0.010017361181409064, -0.008624604165067563, -0.034724464806078055, -0.029474103421180495, 0.0434015558920589, -0.036644233260673204, 0.000523854477862613, 0.055936752721856706, 0.026709803703782342, 0.04276299411735369, -0.007988340216823979, -0.09331700219043886, 0.026696307309102163, 0.0039686850399179695, -0.0007922175831971828, 0.030765299689399665, 0.002262282575523057, -0.031067061096379817, -0.03356610142020079, 0.07452871826872594, -0.07422182512330389, 0.005014951701086507, 0.04289292972782571, 0.03335486123224413, -0.06083747588447204, 0.022976605060972065, 0.0401511680137818, -0.007085064870581472, -0.006075944931861643, 0.09816832537677585, 0.022210794671848763, 0.037254576806620664, -3.379217353632544e-05, 0.08370073975595273, -0.005218060734313891, 0.0015788796895975926, -0.0246938845110814, 0.031206423637974774, 0.034136784209869875, -0.04339575644126448, -0.011368991913110246, 0.00318935992143601, 0.010288928685161977, 0.0009192676666864557, 0.04216080728224599, 0.0013224584267127783, -0.005221321176919896, -0.042116764568956466, 0.013423099708077991, -0.006273557683809352, -0.010396860517134192, 0.013917932570203538, 0.030325919031211273, 0.01210574293326374, -0.009983005215530718, -0.016286550152498927, 0.0025886585695166398, -0.004670836989758868, 0.011842806101211623, 0.028527976701368127, 0.0232167561010762, 0.054654902162157154, -0.03179814910142227, -0.004154146715630969, 0.006634222268892423, 0.018208012356890627, 0.016550101797317245, 0.045715785687032245, -0.020370797834082487, 0.012356912431742879, -0.038797951072252194, -0.011766059805243648, 0.004549994298906818, 0.01716600481734734, 0.007047248991065628, 0.007777679730208171, -0.00281112144779749, -0.007294635771888767, -0.024249082645262474, 0.004018958798081235]"
3,8a8383456788d6e00167a1acf7004062,Debugging and verification using a simulator and on the real microcontroller,"[-5.056757544135992, 2.5494260875222663, -1.295615723641453, -0.7516998546936999, -0.6654090606360831, -0.6180207907912233, 0.964836768546647, -0.955673740847481, 0.16108176719156647, -1.3440781159779025, -0.46237224731060467, -0.01967394105501485, 0.3691879337369581, -0.20194833039569593, 0.02056798246629235, -0.15333719036842042, 0.10472206316135246, 0.02230564247161663, -0.08751777910043135, 0.025655996321226067, -0.05693341967165573, -0.007297794852471811, -0.021598470243666387, 0.011489601964300107, -0.030580520674931534, -0.009603726786587281, -0.08189488438137547, 0.005476696546061897, 0.04470631587732641, 0.09495529657426201, 0.017997295130042067, -0.018874406744981982, 0.005231703316947735, 0.11565304540691634, 0.009161899965162154, 0.04252405101797414, -0.010966093725927408, -0.042844803717732374, -0.017472196009278202, -0.011491344400015069, -0.011612657020378059, -0.00907166470760095, 0.06574439169419143, -0.0005449776481654305, -0.014710326628160561, 0.02277771269305185, -0.009570686757184643, -0.00912104843479268, 0.023758785211155778, 0.03262035882647307, -0.025066732463765444, 0.003774369436244606, -0.04721548794514725, 0.0380729668311446, -0.06716341261501971, 0.019532134942924786, -0.012565025029039013, 0.008871271242960888, -0.042165764787995726, 0.011743891324081131, -0.06351051498895888, 0.08223770155989416, 0.02224994361799864, -0.011740388331968436, 0.021831862060278213, -0.02310856885488528, -0.06101609511162546, 0.00043628025531616127, -0.042480520046221215, -0.01207507721730253, -0.05279647523003341, -0.024490274879783055, -0.013332797215261052, 0.021635050288035525, 0.02499796533008359, 0.009498985284807766, 0.004546107818680885, -0.03543082095869836, -0.009528769770547564, 0.007614541818631979, 0.01338814273058935, -0.04387116592041931, 0.020145751589536697, -0.007683440383675056, 0.0010936513582654045, -0.00855943611723669, -0.012481442838215605, 0.006031827343999012, -0.004037104413588146, -0.00010855042158446765, 0.012804981987161332, 0.016975759587421105, -0.01039291416659337, -0.01203140042138455, -0.04037336175965599, 0.00023951875729530045, 0.02244900808014386, -0.01247191540806089, 0.0011399181948496574, -0.00195033165587879]"
