programCode,AcademicYear,UserUID,examID,CourseCode,CourseName,Semester,CourseOutcomeID,CourseOutcome,Threshold,Target,scoreAwarded,TotalPoints,DifficultyLevel,TaxonomyID,percentage,attainment,Exam_type,Mapping
CSE,2018-2019,1,2c9fadbd7885b0a9017887e4dc0e3cb4,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac5a2a4000,Understanding of Embedded Systems using modular design and abstraction,45,60,5.7,15,1,2,0.38,0,1,"3,2,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e4dc0e3cb4,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac8e8d400c,Learn how to read a data sheet and compute the value of registers. Understand the strategic use of memory and other I/O modules in TM4C123 microcontroller.,45,60,5.7,15,1,2,0.38,0,1,"3,1,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e4dc0e3cb4,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acc34b404f,Analyse how to access Microcontroller ports using Embedded C program,45,60,7.6,20,1,2,0.38,0,1,"2,3,3,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e532183da3,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acf7004062,Debugging and verification using a simulator and on the real microcontroller,45,60,13.5,15,1,2,0.9,1,2,"3,3,3,3,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e532183da3,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad2814407f,"Investigate measures for debugging using logical analyser, and software instrumentation.  Estimation of time to achieve accurate delays using Systick and other timers.",45,60,13.5,15,1,2,0.9,1,2,"3,3,3,2,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e532183da3,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad56b64083,Develop problem solving skill to solve real world problems using Finite State Machine,45,60,9,10,1,2,0.9,1,2,"3,3,3,3,3,2,2,2,1,3,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e532183da3,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ad8c104099,"Designing a circuit and construction on a solderless breadboard, interfacing the input and output in it with the Microcontroller.",45,60,9,10,1,2,0.9,1,2,"3,3,3,3,3,2,2,2,1,1,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac5a2a4000,Understanding of Embedded Systems using modular design and abstraction,45,60,2.84,4,1,2,0.71,1,3,"3,2,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1ac8e8d400c,Learn how to read a data sheet and compute the value of registers. Understand the strategic use of memory and other I/O modules in TM4C123 microcontroller.,45,60,2.84,4,1,2,0.71,1,3,"3,1,1,0,3,0,0,0,0,0,0,0,0,0"
CSE,2018-2019,1,2c9fadbd7885b0a9017887e58dc63e92,15CSE346,Embedded Programming,7,8a8383456788d6e00167a1acc34b404f,Analyse how to access Microcontroller ports using Embedded C program,45,60,2.84,4,1,2,0.71,1,3,"2,3,3,0,3,0,0,0,0,0,0,0,0,0"
