train:fold,0,epoch,0, userid: AM.EN.H4CSE15001, user: 1/960, exams, 62 (108.54 seqs/min), total loss, 0.569125,curr loss, 0.569125, mae, 0.617066, total acc, 0.387097, curr acc, 0.387097, total auc, 0.589744, curr auc, 0.589744, summary, 24/24, 0/38, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15002, user: 2/960, exams, 111 (172.72 seqs/min), total loss, 0.514356,curr loss, 0.459587, mae, 0.587577, total acc, 0.414269, curr acc, 0.441441, total auc, 0.536618, curr auc, 0.483492, summary, 49/49, 0/62, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15004, user: 3/960, exams, 166 (71.59 seqs/min), total loss, 0.554817,curr loss, 0.635740, mae, 0.620050, total acc, 0.386621, curr acc, 0.331325, total auc, 0.527792, curr auc, 0.510139, summary, 48/50, 8/116, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE16001, user: 4/960, exams, 74 (252.71 seqs/min), total loss, 0.554297,curr loss, 0.552735, mae, 0.626793, total acc, 0.377804, curr acc, 0.351351, total auc, 0.525253, curr auc, 0.517637, summary, 22/22, 4/52, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE16002, user: 5/960, exams, 62 (156.56 seqs/min), total loss, 0.535965,curr loss, 0.462638, mae, 0.619752, total acc, 0.382888, curr acc, 0.403226, total auc, 0.528744, curr auc, 0.542708, summary, 22/23, 3/39, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE12503, user: 6/960, exams, 15 (1585.25 seqs/min), total loss, 0.498727,curr loss, 0.312538, mae, 0.593671, total acc, 0.407962, curr acc, 0.533333, total auc, 0.549416, curr auc, 0.652778, summary, 8/8, 0/7, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15001, user: 1/960, exams, 62 (131.14 seqs/min), total loss, 0.750571,curr loss, 0.750571, mae, 0.711743, total acc, 0.387097, curr acc, 0.387097, total auc, 0.444103, curr auc, 0.444103, summary, 24/24, 0/38, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15002, user: 2/960, exams, 111 (229.95 seqs/min), total loss, 0.710633,curr loss, 0.670695, mae, 0.679928, total acc, 0.414269, curr acc, 0.441441, total auc, 0.464750, curr auc, 0.485397, summary, 49/49, 0/62, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15003, user: 3/960, exams, 139 (92.29 seqs/min), total loss, 0.712670,curr loss, 0.716744, mae, 0.684677, total acc, 0.405676, curr acc, 0.388489, total auc, 0.466281, curr auc, 0.469345, summary, 54/54, 0/85, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15002, user: 1/960, exams, 111 (101.23 seqs/min), total loss, 0.534573,curr loss, 0.534573, mae, 0.585193, total acc, 0.441441, curr acc, 0.441441, total auc, 0.517460, curr auc, 0.517460, summary, 49/49, 0/62, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE15004, user: 2/960, exams, 166 (138.11 seqs/min), total loss, 0.614095,curr loss, 0.693617, mae, 0.654053, total acc, 0.365299, curr acc, 0.289157, total auc, 0.514973, curr auc, 0.512485, summary, 49/50, 2/116, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.H4CSE16001, user: 3/960, exams, 74 (130.63 seqs/min), total loss, 0.608184,curr loss, 0.596360, mae, 0.655353, total acc, 0.356145, curr acc, 0.337838, total auc, 0.516681, curr auc, 0.520098, summary, 22/22, 3/52, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE12503, user: 4/960, exams, 15 (1220.64 seqs/min), total loss, 0.550462,curr loss, 0.377296, mae, 0.609963, total acc, 0.400442, curr acc, 0.533333, total auc, 0.543761, curr auc, 0.625000, summary, 8/8, 0/7, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14029, user: 5/960, exams, 15 (795.43 seqs/min), total loss, 0.526676,curr loss, 0.431536, mae, 0.587954, total acc, 0.440354, curr acc, 0.600000, total auc, 0.497866, curr auc, 0.314286, summary, 9/9, 0/6, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14040, user: 6/960, exams, 15 (1278.14 seqs/min), total loss, 0.487932,curr loss, 0.294211, mae, 0.557188, total acc, 0.466962, curr acc, 0.600000, total auc, 0.545841, curr auc, 0.785714, summary, 9/9, 0/6, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14051, user: 7/960, exams, 15 (941.86 seqs/min), total loss, 0.516166,curr loss, 0.685566, mae, 0.595359, total acc, 0.400253, curr acc, 0.000000, total auc, 0.610721, curr auc, 1.000000, summary, 0/0, 0/15, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14057, user: 8/960, exams, 15 (1163.52 seqs/min), total loss, 0.529972,curr loss, 0.626620, mae, 0.615918, total acc, 0.358554, curr acc, 0.066667, total auc, 0.655214, curr auc, 0.966667, summary, 1/1, 0/14, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14058, user: 9/960, exams, 15 (926.28 seqs/min), total loss, 0.525153,curr loss, 0.486601, mae, 0.621338, total acc, 0.333530, curr acc, 0.133333, total auc, 0.682941, curr auc, 0.904762, summary, 2/2, 0/13, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14067, user: 10/960, exams, 15 (1450.66 seqs/min), total loss, 0.507896,curr loss, 0.352577, mae, 0.612045, total acc, 0.340177, curr acc, 0.400000, total auc, 0.684647, curr auc, 0.700000, summary, 6/6, 0/9, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14077, user: 11/960, exams, 15 (738.83 seqs/min), total loss, 0.490258,curr loss, 0.313880, mae, 0.601920, total acc, 0.351676, curr acc, 0.466667, total auc, 0.685538, curr auc, 0.694444, summary, 7/7, 0/8, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14110, user: 12/960, exams, 15 (1439.86 seqs/min), total loss, 0.479534,curr loss, 0.361567, mae, 0.599238, total acc, 0.350147, curr acc, 0.333333, total auc, 0.671339, curr auc, 0.515152, summary, 5/5, 0/10, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14126, user: 13/960, exams, 15 (697.37 seqs/min), total loss, 0.476213,curr loss, 0.436359, mae, 0.600917, total acc, 0.338598, curr acc, 0.200000, total auc, 0.674431, curr auc, 0.711538, summary, 3/3, 0/12, predicted scores: [] 
train:fold,0,epoch,0, userid: AM.EN.U4CSE14128, user: 14/960, exams, 15 (1793.01 seqs/min), total loss, 0.464160,curr loss, 0.307471, mae, 0.595569, total acc, 0.342984, curr acc, 0.400000, total auc, 0.664948, curr auc, 0.541667, summary, 6/7, 0/8, predicted scores: [] 
